,totals
1841,394761965
1842,4428194678
1843,4822956643
1844,1344941817
1845,5720239179
1846,7065180996
1847,202863608
1848,907573553
1849,1110437161
1850,92915692
1851,303510729
1852,396426421
1853,967397937
1854,53
1855,2235897
1856,5961708
1857,394761965
1858,4428194678
1859,4822956643
1860,1344941817
1861,5720239179
1862,7065180996
1863,202863608
1864,907573553
1865,1110437161
1866,92915692
1867,303510729
1868,396426421
1869,967397937
1870,53
1871,2235897
1872,5961708
1873,394761965
1874,4428194678
1875,4822956643
1876,1344941817
1877,5720239179
1878,7065180996
1879,202863608
1880,907573553
1881,1110437161
1882,92915692
1883,303510729
1884,396426421
1885,967397937
1886,53
1887,2235897
1888,5961708
1889,394761965
1890,4428194678
1891,4822956643
1892,1344941817
1893,5720239179
1894,7065180996
1895,202863608
1896,907573553
1897,1110437161
1898,92915692
1899,303510729
1900,396426421
1901,967397937
1902,53
1903,2235897
1904,5961708
1905,394761965
1906,4428194678
1907,4822956643
1908,1344941817
1909,5720239179
1910,7065180996
1911,202863608
1912,907573553
1913,1110437161
1914,92915692
1915,303510729
1916,396426421
1917,967397937
1918,53
1919,2235897
1920,5961708
1921,394761965
1922,4428194678
1923,4822956643
1924,1344941817
1925,5720239179
1926,7065180996
1927,202863608
1928,907573553
1929,1110437161
1930,92915692
1931,303510729
1932,396426421
1933,967397937
1934,53
1935,2235897
1936,5961708
1937,394761965
1938,4428194678
1939,4822956643
1940,1344941817
1941,5720239179
1942,7065180996
1943,202863608
1944,907573553
1945,1110437161
1946,92915692
1947,303510729
1948,396426421
1949,967397937
1950,53
1951,2235897
1952,5961708
1953,394761965
1954,4428194678
1955,4822956643
1956,1344941817
1957,5720239179
1958,7065180996
1959,202863608
1960,907573553
1961,1110437161
1962,92915692
1963,303510729
1964,396426421
1965,967397937
1966,53
1967,2235897
1968,5961708
1969,394761965
1970,4428194678
1971,4822956643
1972,1344941817
1973,5720239179
1974,7065180996
1975,202863608
1976,907573553
1977,1110437161
1978,92915692
1979,303510729
1980,396426421
